,open,high,low,close,adjclose,volume,ticker,adjclose_15,true_adjclose_15,buy_profit,sell_profit
2014-11-13,427.27301025390625,457.0929870605469,401.12298583984375,420.7349853515625,420.7349853515625,58945000.0,BTC-USD,375.12247,376.4469909667969,0.0,44.287994384765625
2014-11-15,399.6499938964844,405.52801513671875,371.00799560546875,376.13299560546875,376.13299560546875,15727500.0,BTC-USD,366.15677,378.0469970703125,0.0,-1.91400146484375
2014-11-21,357.8789978027344,357.8789978027344,344.11199951171875,350.8479919433594,350.8479919433594,29850100.0,BTC-USD,238.088,374.7850036621094,0.0,-23.93701171875
2014-11-22,351.60400390625,364.84100341796875,350.87799072265625,352.9200134277344,352.9200134277344,15273000.0,BTC-USD,225.66527,375.0950012207031,0.0,-22.17498779296875
2014-11-24,366.947998046875,387.2090148925781,366.66900634765625,376.9010009765625,376.9010009765625,30930100.0,BTC-USD,239.33644,352.218994140625,0.0,24.6820068359375
2014-11-29,376.1520080566406,387.60101318359375,372.1449890136719,375.4909973144531,375.4909973144531,15375600.0,BTC-USD,325.5914,351.6319885253906,0.0,23.8590087890625
2014-12-06,376.7569885253906,378.447998046875,370.94500732421875,374.7850036621094,374.7850036621094,7009320.0,BTC-USD,334.61203,320.8429870605469,0.0,53.9420166015625
2014-12-07,374.83599853515625,376.2919921875,373.2749938964844,375.0950012207031,375.0950012207031,6491650.0,BTC-USD,327.14044,331.885986328125,0.0,43.209014892578125
2014-12-08,374.9649963378906,376.02899169921875,361.885986328125,361.90899658203125,361.90899658203125,18898700.0,BTC-USD,316.6105,334.5719909667969,0.0,27.337005615234375
2014-12-19,311.1789855957031,318.5329895019531,306.7690124511719,317.8429870605469,317.8429870605469,23823100.0,BTC-USD,233.39429,281.0820007324219,0.0,36.760986328125
2014-12-20,317.6189880371094,330.32501220703125,316.04400634765625,329.95599365234375,329.95599365234375,20856700.0,BTC-USD,236.67282,264.19500732421875,0.0,65.760986328125
2014-12-21,329.5429992675781,329.6289978027344,318.90301513671875,320.8429870605469,320.8429870605469,15207600.0,BTC-USD,245.45023,274.4739990234375,0.0,46.368988037109375
2014-12-25,322.2860107421875,322.6700134277344,316.9580078125,319.00799560546875,319.00799560546875,9883640.0,BTC-USD,285.38794,290.4079895019531,0.0,28.600006103515625
2014-12-26,319.1520080566406,331.42401123046875,316.62701416015625,327.92401123046875,327.92401123046875,16410500.0,BTC-USD,285.8778,274.7959899902344,0.0,53.128021240234375
2015-01-02,314.0790100097656,315.8389892578125,313.56500244140625,315.0320129394531,315.0320129394531,7860650.0,BTC-USD,246.82617,199.25999450683594,0.0,115.77201843261719
2015-01-04,281.14599609375,287.2300109863281,257.61199951171875,264.19500732421875,264.19500732421875,55629100.0,BTC-USD,213.33325,214.86099243164062,0.0,49.334014892578125
2015-01-10,287.3030090332031,288.12701416015625,273.96600341796875,274.7959899902344,274.7959899902344,15264300.0,BTC-USD,213.67209,253.71800231933594,0.0,21.077987670898438
2015-01-18,200.0500030517578,218.69500732421875,194.50599670410156,210.33900451660156,210.33900451660156,30085100.0,BTC-USD,118.33081,238.22900390625,0.0,-27.889999389648438
2015-02-08,227.6929931640625,229.43800354003906,221.07699584960938,223.41200256347656,223.41200256347656,17145200.0,BTC-USD,129.08289,238.89199829101562,0.0,-15.479995727539062
2015-02-12,219.20799255371094,222.19900512695312,217.61399841308594,221.76400756835938,221.76400756835938,15206200.0,BTC-USD,159.18744,253.8280029296875,0.0,-32.063995361328125
2015-02-16,234.8249969482422,239.52099609375,229.02200317382812,233.84300231933594,233.84300231933594,28153700.0,BTC-USD,209.59134,281.7019958496094,0.0,-47.85899353027344
2015-03-03,275.0459899902344,285.7959899902344,268.1610107421875,281.7019958496094,281.7019958496094,50461300.0,BTC-USD,188.0352,256.29901123046875,0.0,25.402984619140625
2015-03-04,281.989990234375,284.2250061035156,268.1260070800781,273.0920104980469,273.0920104980469,41383000.0,BTC-USD,201.69412,260.9280090332031,0.0,12.16400146484375
2015-03-08,276.4330139160156,277.8580017089844,272.56500244140625,274.35400390625,274.35400390625,22067900.0,BTC-USD,208.71654,266.739990234375,0.0,7.614013671875
2015-03-12,296.12701416015625,297.0880126953125,292.4129943847656,294.35400390625,294.35400390625,32585200.0,BTC-USD,219.82707,247.0290069580078,0.0,47.32499694824219
2015-03-13,294.1180114746094,294.49798583984375,285.3370056152344,285.3370056152344,285.3370056152344,31421500.0,BTC-USD,217.47531,252.79800415039062,0.0,32.53900146484375
2015-03-24,266.5769958496094,267.00299072265625,244.15499877929688,245.59500122070312,245.59500122070312,40073700.0,BTC-USD,170.89081,245.02200317382812,0.0,0.572998046875
2015-03-29,252.74000549316406,253.13900756835938,240.85000610351562,242.71299743652344,242.71299743652344,21699400.0,BTC-USD,182.40932,224.58700561523438,0.0,18.125991821289062
2015-04-03,254.29100036621094,255.25799560546875,251.10000610351562,253.69700622558594,253.69700622558594,12493500.0,BTC-USD,193.16875,222.60000610351562,0.0,31.097000122070312
2015-04-30,235.93899536132812,238.96600341796875,232.07899475097656,232.07899475097656,232.07899475097656,18815300.0,BTC-USD,159.43507,236.1529998779297,0.0,-4.074005126953125
2015-05-06,229.66200256347656,239.10499572753906,228.572998046875,237.33399963378906,237.33399963378906,29064400.0,BTC-USD,155.7667,240.34800720214844,0.0,-3.014007568359375
2015-05-21,235.3209991455078,240.968994140625,235.05999755859375,240.34800720214844,240.34800720214844,27003000.0,BTC-USD,159.80333,225.61900329589844,0.0,14.72900390625
2015-05-27,237.2570037841797,237.82400512695312,236.65199279785156,237.4080047607422,237.4080047607422,13829600.0,BTC-USD,166.65755,229.98199462890625,0.0,7.4260101318359375
2015-06-07,222.87899780273438,229.46400451660156,222.83900451660156,228.48899841308594,228.48899841308594,23378400.0,BTC-USD,144.1207,244.29600524902344,0.0,-15.8070068359375
2015-06-08,228.53799438476562,230.95399475097656,227.9290008544922,229.04800415039062,229.04800415039062,28353100.0,BTC-USD,148.41525,240.51499938964844,0.0,-11.466995239257812
2015-06-12,229.9199981689453,232.65199279785156,229.2100067138672,232.40199279785156,232.40199279785156,13305300.0,BTC-USD,160.99391,249.01100158691406,0.0,-16.6090087890625
2015-06-16,250.822998046875,256.8529968261719,246.4759979248047,249.28399658203125,249.28399658203125,43858400.0,BTC-USD,177.39247,255.41200256347656,0.0,-6.1280059814453125
2015-06-18,249.04299926757812,250.9770050048828,243.78700256347656,244.6060028076172,244.6060028076172,23965300.0,BTC-USD,182.21072,260.885986328125,0.0,-16.279983520507812
2015-06-28,248.7209930419922,257.1730041503906,248.58099365234375,257.0639953613281,257.0639953613281,34742900.0,BTC-USD,162.92102,287.4639892578125,0.0,-30.399993896484375
2015-07-02,255.45899963378906,257.0769958496094,253.5050048828125,256.33599853515625,256.33599853515625,19033800.0,BTC-USD,187.45168,274.9010009765625,0.0,-18.56500244140625
2015-07-06,269.9630126953125,271.34100341796875,264.8320007324219,266.2070007324219,266.2070007324219,28857600.0,BTC-USD,200.20833,277.22198486328125,0.0,-11.014984130859375
2015-07-07,265.98199462890625,272.97100830078125,264.385986328125,270.7850036621094,270.7850036621094,36980200.0,BTC-USD,201.16649,276.04901123046875,0.0,-5.264007568359375
2015-07-10,284.8800048828125,298.5060119628906,283.5299987792969,293.114990234375,293.114990234375,41109900.0,BTC-USD,209.94733,292.6860046386719,0.0,0.428985595703125
2015-07-19,273.4989929199219,278.9809875488281,272.9599914550781,278.9809875488281,278.9809875488281,22711400.0,BTC-USD,172.48447,285.2179870605469,0.0,-6.23699951171875
2015-07-30,287.6960144042969,288.9590148925781,282.343994140625,284.6499938964844,284.6499938964844,23629100.0,BTC-USD,228.77414,261.5509948730469,0.0,23.0989990234375
2015-08-01,280.4490051269531,283.0320129394531,277.52899169921875,282.614013671875,282.614013671875,17722200.0,BTC-USD,213.31757,257.97601318359375,0.0,24.63800048828125
2015-08-02,282.8059997558594,285.47100830078125,280.2330017089844,281.22698974609375,281.22698974609375,21474100.0,BTC-USD,206.87769,211.07899475097656,0.0,70.14799499511719
2015-08-08,261.1159973144531,267.00299072265625,260.4679870605469,265.0830078125,265.0830078125,23789600.0,BTC-USD,179.64076,210.4949951171875,0.0,54.5880126953125
2015-08-16,258.489990234375,260.5050048828125,257.11700439453125,257.97601318359375,257.97601318359375,21617900.0,BTC-USD,188.81389,228.12100219726562,0.0,29.855010986328125
2015-08-23,228.11199951171875,228.13900756835938,210.4429931640625,210.4949951171875,210.4949951171875,59220700.0,BTC-USD,149.44403,243.60699462890625,0.0,-33.11199951171875
2015-08-25,222.0760040283203,231.18299865722656,220.20399475097656,225.83099365234375,225.83099365234375,31808000.0,BTC-USD,148.20341,238.4770050048828,0.0,-12.646011352539062
2015-09-04,230.19900512695312,236.14300537109375,229.4429931640625,235.0189971923828,235.0189971923828,20671400.0,BTC-USD,164.89618,231.21200561523438,0.0,3.8069915771484375
2015-09-06,239.9340057373047,242.1060028076172,238.7220001220703,239.8470001220703,239.8470001220703,21192200.0,BTC-USD,167.42987,230.6179962158203,0.0,9.22900390625
2015-09-08,243.4149932861328,244.41600036621094,237.8209991455078,238.16799926757812,238.16799926757812,23635700.0,BTC-USD,169.31824,234.5290069580078,0.0,3.6389923095703125
2015-09-16,229.0760040283203,230.28500366210938,228.92599487304688,229.80999755859375,229.80999755859375,18935400.0,BTC-USD,144.64146,237.29299926757812,0.0,-7.483001708984375
2015-09-19,231.3990020751953,232.36500549316406,230.91000366210938,231.21200561523438,231.21200561523438,14444700.0,BTC-USD,155.1209,240.38299560546875,0.0,-9.170989990234375
2015-09-27,232.83599853515625,239.33900451660156,232.4669952392578,239.14199829101562,239.14199829101562,24713000.0,BTC-USD,175.45163,249.50799560546875,0.0,-10.365997314453125
2015-10-08,242.4980010986328,244.22799682617188,242.1219940185547,243.93099975585938,243.93099975585938,17353100.0,BTC-USD,162.27374,281.65399169921875,0.0,-37.722991943359375
2015-10-19,263.5719909667969,270.8349914550781,263.22698974609375,269.4630126953125,269.4630126953125,30889800.0,BTC-USD,196.09178,411.56298828125,0.0,-142.0999755859375
2015-10-22,273.64898681640625,278.6839904785156,273.5429992675781,276.4960021972656,276.4960021972656,29442500.0,BTC-USD,198.03899,386.48199462890625,0.0,-109.98599243164062
2015-11-07,374.2690124511719,390.58599853515625,372.4330139160156,386.48199462890625,386.48199462890625,56625100.0,BTC-USD,334.86505,324.5360107421875,0.0,61.94598388671875
2015-11-09,374.3240051269531,385.27801513671875,362.8949890136719,380.2569885253906,380.2569885253906,68224400.0,BTC-USD,291.97687,320.0459899902344,0.0,60.21099853515625
2015-11-10,379.9840087890625,381.3869934082031,329.1080017089844,336.8190002441406,336.8190002441406,95797904.0,BTC-USD,262.79764,328.20599365234375,0.0,8.613006591796875
2015-11-13,338.49798583984375,340.91400146484375,326.07501220703125,336.75299072265625,336.75299072265625,52003000.0,BTC-USD,176.63634,357.3810119628906,0.0,-20.628021240234375
2015-11-17,330.36199951171875,338.3500061035156,329.614013671875,335.093994140625,335.093994140625,51001600.0,BTC-USD,208.6214,359.18701171875,0.0,-24.093017578125
2015-11-21,322.0920104980469,328.15899658203125,319.5950012207031,326.927001953125,326.927001953125,28200500.0,BTC-USD,273.8665,388.7829895019531,0.0,-61.855987548828125
2015-11-26,328.3030090332031,366.7569885253906,328.22900390625,352.6839904785156,352.6839904785156,106105000.0,BTC-USD,298.125,451.93798828125,0.0,-99.25399780273438
2015-11-27,351.8609924316406,363.5889892578125,347.8699951171875,358.0419921875,358.0419921875,55179100.0,BTC-USD,309.4611,434.99700927734375,0.0,-76.95501708984375
2015-11-28,357.1409912109375,359.5360107421875,352.1719970703125,357.3810119628906,357.3810119628906,36816600.0,BTC-USD,317.86728,433.7550048828125,0.0,-76.37399291992188
2015-11-30,371.43701171875,382.3630065917969,370.38299560546875,377.3210144042969,377.3210144042969,71701600.0,BTC-USD,327.88138,465.3210144042969,0.0,-88.0
2015-12-03,359.33099365234375,370.2749938964844,357.4119873046875,361.0459899902344,361.0459899902344,50714900.0,BTC-USD,291.42426,463.6159973144531,0.0,-102.57000732421875
2015-12-06,389.55499267578125,402.8089904785156,387.0889892578125,388.7829895019531,388.7829895019531,77762000.0,BTC-USD,270.0932,438.6390075683594,0.0,-49.85601806640625
2015-12-09,414.4410095214844,423.1199951171875,406.2909851074219,417.56298828125,417.56298828125,90917200.0,BTC-USD,304.82132,454.9849853515625,0.0,-37.4219970703125
2015-12-11,415.281005859375,451.93798828125,415.281005859375,451.93798828125,451.93798828125,110944000.0,BTC-USD,336.33957,417.27398681640625,0.0,34.66400146484375
2015-12-12,452.3349914550781,469.1029968261719,410.7409973144531,434.99700927734375,434.99700927734375,131969000.0,BTC-USD,352.93768,422.822998046875,0.0,12.17401123046875
2015-12-25,454.8550109863281,458.30499267578125,452.07501220703125,455.65301513671875,455.65301513671875,39078500.0,BTC-USD,356.27066,447.6109924316406,0.0,8.042022705078125
2015-12-27,416.5140075683594,424.0069885253906,408.88299560546875,422.822998046875,422.822998046875,53591200.0,BTC-USD,345.45483,448.4280090332031,0.0,-25.605010986328125
2016-01-11,448.697998046875,450.6619873046875,443.8550109863281,448.4280090332031,448.4280090332031,40450000.0,BTC-USD,395.2497,392.15301513671875,0.0,56.274993896484375
2016-01-15,430.2550048828125,430.2550048828125,364.33099365234375,364.33099365234375,364.33099365234375,153351008.0,BTC-USD,324.34787,378.2550048828125,0.0,-13.92401123046875
2016-01-17,387.1520080566406,390.9649963378906,380.0920104980469,382.29901123046875,382.29901123046875,45319600.0,BTC-USD,264.8552,373.0559997558594,0.0,9.243011474609375
2016-01-18,381.7330017089844,388.10400390625,376.6650085449219,387.1679992675781,387.1679992675781,54403900.0,BTC-USD,254.19724,374.447998046875,0.0,12.720001220703125
2016-01-28,395.14599609375,395.50201416015625,379.7349853515625,380.28900146484375,380.28900146484375,59247900.0,BTC-USD,367.81223,384.26300048828125,0.0,-3.9739990234375
2016-01-30,378.864990234375,380.9169921875,376.4909973144531,378.2550048828125,378.2550048828125,30284400.0,BTC-USD,348.81525,407.2300109863281,0.0,-28.975006103515625
2016-01-31,378.2929992675781,380.34698486328125,367.8349914550781,368.7669982910156,368.7669982910156,37894300.0,BTC-USD,337.21585,400.18499755859375,0.0,-31.417999267578125
2016-02-04,370.17401123046875,391.6080017089844,369.9930114746094,389.593994140625,389.593994140625,69285504.0,BTC-USD,311.34064,420.7850036621094,0.0,-31.191009521484375
2016-02-08,376.7569885253906,379.8789978027344,373.3340148925781,373.4469909667969,373.4469909667969,47671100.0,BTC-USD,314.63876,420.7359924316406,0.0,-47.28900146484375
2016-02-09,373.4230041503906,377.2460021972656,372.89801025390625,376.02899169921875,376.02899169921875,55318500.0,BTC-USD,312.01193,424.9549865722656,0.0,-48.925994873046875
2016-02-18,416.5719909667969,425.9960021972656,415.63800048828125,422.37298583984375,422.37298583984375,76752600.0,BTC-USD,375.17102,410.9389953613281,0.0,11.433990478515625
2016-02-25,425.0369873046875,427.718994140625,420.4150085449219,424.54400634765625,424.54400634765625,70798000.0,BTC-USD,360.3985,421.69000244140625,0.0,2.85400390625
2016-03-01,437.9169921875,439.65301513671875,432.3190002441406,435.12298583984375,435.12298583984375,74895800.0,BTC-USD,352.92545,417.010986328125,0.0,18.11199951171875
2016-03-21,413.4179992675781,413.4179992675781,410.3810119628906,413.3070068359375,413.3070068359375,61655400.0,BTC-USD,345.85693,424.0299987792969,0.0,-10.722991943359375
2016-03-22,413.1319885253906,418.375,412.531005859375,418.0889892578125,418.0889892578125,66813300.0,BTC-USD,343.19086,423.4129943847656,0.0,-5.324005126953125
2016-03-30,415.2569885253906,418.3689880371094,415.2569885253906,416.72900390625,416.72900390625,60215200.0,BTC-USD,349.83472,429.7130126953125,0.0,-12.9840087890625
2016-03-31,416.760009765625,418.1730041503906,415.83099365234375,417.9599914550781,417.9599914550781,51235700.0,BTC-USD,349.3257,430.5719909667969,0.0,-12.61199951171875
2016-04-01,418.4219970703125,422.08099365234375,418.4219970703125,420.87298583984375,420.87298583984375,45681200.0,BTC-USD,351.04196,427.39898681640625,0.0,-6.5260009765625
2016-04-02,421.1730041503906,421.5799865722656,419.6969909667969,420.90399169921875,420.90399169921875,38053700.0,BTC-USD,354.00766,428.59100341796875,0.0,-7.68701171875
2016-04-03,421.29901123046875,422.3429870605469,419.60101318359375,421.4440002441406,421.4440002441406,50634300.0,BTC-USD,357.21164,435.5090026855469,0.0,-14.06500244140625
2016-04-10,421.87200927734375,422.739013671875,420.5329895019531,422.4830017089844,422.4830017089844,50747500.0,BTC-USD,363.10477,466.0889892578125,0.0,-43.605987548828125
2016-04-11,422.8429870605469,427.2770080566406,422.8429870605469,425.19000244140625,425.19000244140625,70728800.0,BTC-USD,364.0595,444.68701171875,0.0,-19.49700927734375
2016-04-19,435.3240051269531,443.0539855957031,434.406005859375,441.3890075683594,441.3890075683594,72890096.0,BTC-USD,376.4219,447.97601318359375,0.0,-6.587005615234375
2016-04-21,449.68798828125,449.80999755859375,444.1499938964844,445.73699951171875,445.73699951171875,58804400.0,BTC-USD,389.1987,458.5360107421875,0.0,-12.79901123046875
2016-04-25,461.64801025390625,467.9649963378906,461.6210021972656,466.0889892578125,466.0889892578125,78971904.0,BTC-USD,408.2393,452.7279968261719,0.0,13.360992431640625
2016-05-07,458.4289855957031,459.4169921875,455.9830017089844,458.5480041503906,458.5480041503906,40315000.0,BTC-USD,392.68512,444.1549987792969,0.0,14.39300537109375
2016-05-09,460.51800537109375,461.9289855957031,448.9540100097656,450.8949890136719,450.8949890136719,58956100.0,BTC-USD,403.56274,449.5989990234375,0.0,1.295989990234375
2016-05-12,454.8500061035156,457.05499267578125,453.4530029296875,455.6700134277344,455.6700134277344,60845000.0,BTC-USD,401.44293,530.0399780273438,0.0,-74.36996459960938
2016-05-16,454.0090026855469,455.0719909667969,453.6050109863281,453.7829895019531,453.7829895019531,64100300.0,BTC-USD,399.5222,536.9199829101562,0.0,-83.13699340820312
2016-05-18,454.52398681640625,454.63299560546875,438.7149963378906,438.7149963378906,438.7149963378906,96027400.0,BTC-USD,391.4357,569.1939697265625,0.0,-130.47897338867188
2016-05-23,444.2909851074219,447.1000061035156,443.92999267578125,445.9809875488281,445.9809875488281,65783100.0,BTC-USD,370.74356,581.64501953125,0.0,-135.66403198242188
2016-06-05,574.6019897460938,586.469970703125,574.6019897460938,585.5369873046875,585.5369873046875,72138896.0,BTC-USD,524.87555,666.6519775390625,0.0,-81.114990234375
2016-06-08,582.2030029296875,582.2030029296875,570.9509887695312,574.6300048828125,574.6300048828125,71301000.0,BTC-USD,494.98605,665.2990112304688,0.0,-90.66900634765625
2016-06-09,575.8369750976562,579.1270141601562,573.3250122070312,577.469970703125,577.469970703125,66991900.0,BTC-USD,482.56824,665.1229858398438,0.0,-87.65301513671875
2016-06-16,768.4869995117188,775.3560180664062,716.5560302734375,748.9089965820312,748.9089965820312,363320992.0,BTC-USD,706.84326,703.7020263671875,0.0,45.20697021484375
2016-06-28,644.1220092773438,644.6820068359375,628.2839965820312,639.8900146484375,639.8900146484375,142456000.0,BTC-USD,530.0927,658.0780029296875,0.0,-18.18798828125
2016-07-03,658.8040161132812,683.6619873046875,650.5079956054688,683.6619873046875,683.6619873046875,92008400.0,BTC-USD,689.48627,672.8640136718751,-10.797973632812386,0.0
2016-07-11,648.2830200195312,675.2589721679688,646.7789916992188,664.551025390625,664.551025390625,138172992.0,BTC-USD,585.94867,654.3519897460938,0.0,10.19903564453125
2016-07-20,665.22802734375,666.218994140625,660.4149780273438,665.0120239257812,665.0120239257812,60491800.0,BTC-USD,601.37213,575.0430297851562,0.0,89.968994140625
2016-07-23,655.4099731445312,663.1099853515625,652.7930297851562,661.2849731445312,661.2849731445312,118184000.0,BTC-USD,596.3283,591.0540161132812,0.0,70.23095703125
2016-07-26,651.6270141601562,657.4559936523438,648.447021484375,654.3519897460938,654.3519897460938,147460992.0,BTC-USD,607.08655,589.1199951171875,0.0,65.23199462890625
